Solanum dulcamara_6;Ribes nigrum_6;Lycopus europaeus_6;Peucedanum palustre_6;Scutellaria galericulata_6;Thelypteris palustris_6;Alnus glutinosa_1;Alnus glutinosa_4;Frangula alnus_4;Carex acuta_6;Carex acutiformis_6;Carex riparia_6;Frangula alnus_6;Rubus caesius_6;Chaerophyllum temulentum_6;Acer campestre_1;Carpinus betulus_1;Tilia cordata_1;Acer campestre_4;Tilia cordata_4;Acer campestre_6;Carpinus betulus_6;Tilia cordata_6;Prunus avium_4;Prunus avium_6;Quercus robur_1;Acer platanoides_1;Acer pseudoplatanus_1;Hedera helix_6;Viola reichenbachiana_6;Acer platanoides_4;Acer pseudoplatanus_4;Acer platanoides_6;Acer pseudoplatanus_6;Atrichum undulatum_6;Brachypodium sylvaticum_6;Lamiastrum galeobdolon_6;Aegopodium podagraria_6;Cornus sanguinea_4;Cornus sanguinea_6;Fraxinus excelsior_1;Prunus padus_1;Ulmus minor_1;Fraxinus excelsior_4;Prunus padus_4;Ulmus minor_4;Festuca gigantea_6;Fraxinus excelsior_6;Paris quadrifolia_6;Prunus padus_6;Ribes spicatum_6;Ulmus minor_6;Viburnum opulus_6;Plagiomnium undulatum_6;Pinus sylvestris_1;Dicranum scoparium_6;Pinus sylvestris_6;Pleurozium schreberi_6;Pseudoscleropodium purum_6;Robinia pseudacacia_4;Chelidonium majus_6;Robinia pseudacacia_6;Robinia pseudacacia_1;Poa nemoralis_6;Polytrichastrum formosum_6;Populus alba_4;Populus alba_6;Acer negundo_1;Betula pendula_1;Betula pubescens_1;Fagus sylvatica_1;Populus tremula_1;Populus x canadensis_1;Prunus serotina_1;Quercus petraea_1;Quercus rubra_1;Acer negundo_4;Corylus avellana_4;Crataegus monogyna_4;Euonymus europaeus_4;Fagus sylvatica_4;Lonicera xylosteum_4;Populus tremula_4;Prunus serotina_4;Pyrus communis_4;Sambucus nigra_4;Sorbus aucuparia_4;Symphoricarpos albus_4;Acer negundo_6;Agrostis gigantea_6;Alliaria petiolata_6;Anthriscus sylvestris_6;Bidens frondosa_6;Brachythecium rutabulum_6;Brachythecium velutinum_6;Bromus tectorum_6;Calamagrostis epigeios_6;Calliergon giganteum_6;Calliergonella cuspidata_6;Calystegia sepium_6;Carex hirta_6;Carex paniculata_6;Chenopodium strictum_6;Cirsium oleraceum_6;Corylus avellana_6;Crataegus monogyna_6;Crataegus rhipidophyla_6;Dactylis glomerata_6;Deschampsia cespitosa_6;Dryopteris carthusiana_6;Dryopteris dilatata_6;Dryopteris filix-mas_6;Elymus repens_6;Euonymus europaeus_6;Eupatorium cannabinum_6;Euphorbia cyparissias_6;Fagus sylvatica_6;Festuca ovina_6;Festuca rubra_6;Filipendula ulmaria_6;Galeopsis tetrahit_6;Galium album_6;Galium aparine_6;Galium palustre_6;Geranium robertianum_6;Geum rivale_6;Geum urbanum_6;Glechoma hederacea_6;Grimmia incurva_6;Heracleum sphondyliu ssp. sphondylium_6;Holcus lanatus_6;Humulus lupulus_6;Hypnum cupressiforme_6;Impatiens parviflora_6;Iris pseudacorus_6;Ligustrum vulgare_6;Lonicera xylosteum_6;Lysimachia vulgaris_6;Lythrum salicaria_6;Mentha aquatica_6;Moehringia trinervia_6;Molinia caerulea_6;Myosotis scorpioides_6;Phragmites australis_6;Plagiomnium affine_6;Poa angustifolia_6;Poa annua_6;Poa compressa_6;Prunus insititia_6;Prunus serotina_6;Quercus petraea_6;Quercus robur_6;Quercus rubra_6;Ranunculus repens_6;Ribes alpinum_6;Ribes rubrum_6;Ribes uva-crispa_6;Rosa canina_6;Rubus fruticosus coll._6;Rubus idaeus_6;Sambucus nigra_6;Solidago canadensis_6;Solidago gigantea_6;Sorbus aucuparia_6;Stachys sylvatica_6;Stellaria media_6;Symphoricarpos albus_6;Taraxacum officinale_6;Urtica dioica_6;Viburnum lantana_6
4;4;3;2;0;38;88;0;0;0;8;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;8;0;4;0;0;3;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;0;0;0;3;0;0;0;4;0;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
1;0;3;1;0;8;68;2;3;0;0;38;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;0;8;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;2;2;0;3;88;0;0;8;0;8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;8;1;0;2;1;8;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;3;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;2;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
4;0;3;0;0;3;68;2;3;0;0;68;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;3;0;2;3;68;0;2;0;0;18;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;3;3;2;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;18;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8;0;0;0;3;0;2;0;0;0;0;3;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
3;0;0;0;0;0;88;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;3;4;0;0;0;0;0;0;2;2;0;0;0;0;3;0;3;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;2;0;38;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0
0;0;4;0;0;0;68;0;0;0;0;0;0;18;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;3;4;3;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;4;2;0;0;3;0;0;3;0;0;0;2;0;3;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;1;2;0
0;0;2;0;0;0;88;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;18;0;0;0;0;0;0;38;0;2;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;0;0
0;0;2;0;0;0;88;0;2;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;3;3;0;3;0;0;4;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;3;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;2;0;0;0;0;0;2;0;0;0;0;0;0
0;0;2;0;0;0;38;3;0;0;0;0;0;0;0;3;0;0;0;3;2;0;0;0;0;0;18;0;0;0;3;2;0;0;0;0;0;0;38;0;0;0;0;18;3;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;2;0;0;0;0;3;18;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;18;0;3;0;18;0;18;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;68;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;1;2;0;0;0;0;0;2;0;0;1;0;0;3;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;38;0;1;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;38;0;0;4;0;4;0;2;4;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;4;3;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
